model
Canon EOS 300D
"Canon EOS 350D
(Rebel XT / Kiss Digital N)"
"Canon EOS 400D
(Rebel XTi / Kiss Digital X)"
"Canon EOS 450D
(Rebel XSi / Kiss X2)"
"Canon EOS 500D
(Rebel T1i / Kiss X3)"
"Canon EOS 550D
(Rebel T2i / Kiss X4)"
"Canon EOS 600D
(Rebel T3i / Kiss X5)"
"Canon EOS 650D
(Rebel T4i / Kiss X6i)"
"Canon EOS 700D
(Rebel T5i / Kiss X7i)"
"Canon EOS 750D
(Rebel T6i / Kiss X8i)"
"Canon EOS 760D
(Rebel T6s / 8000D)"
"Canon EOS 800D
(Rebel T7i / Kiss X9i)"
"Canon EOS 850D
(Rebel T8i / Kiss X10i)"
"Canon EOS 1000D
(Rebel XS / Kiss F)"
"Canon EOS 1100D
(Rebel T3 / Kiss X50)"
"Canon EOS 1200D
(Rebel T5 / Kiss X70)"
"Canon EOS 1300D
(Rebel T6 / Kiss X80)"
"Canon EOS 1500D
(Rebel T7 / Kiss X90)"
"Canon EOS 2000D
(Rebel T7 / Kiss X90)"
"Canon EOS 250D
(Rebel SL3 / Kiss X10)"
"Canon EOS 3000D
(Rebel T100)"
Canon EOS 4000D
Canon EOS 60D
Canon EOS 70D
Canon EOS 77D
Canon EOS 80D
Canon EOS 90D
Canon EOS 7D
Canon EOS R
Canon EOS RP
Canon EOS R5
Canon EOS R6
"Canon EOS 200D
Mark I"
"Canon EOS 200D
Mark II"
Canon EOS R6 Mark II
Canon EOS R3
Canon EOS R5 C
Canon EOS R8
Canon EOS 7D Mark II
Canon EOS 5D Mark II
Canon EOS 5D Mark III
Canon EOS 5D Mark IV
Canon EOS 6D
Canon EOS 6D Mark II
Canon EOS M
Canon EOS M2
Canon EOS M3
Canon EOS M5
Canon EOS M6
Canon EOS M6 Mark II
Canon EOS M10
Canon EOS M100
"Canon EOS M50
Mark I"
"Canon EOS M50
Mark II"
Canon EOS M200
Canon EOS R7
Canon EOS R10
Canon EOS R50
Canon EOS R100
Nikon D40
Nikon D40x
Nikon D50
Nikon D60
Nikon D70
Nikon D80
Nikon D90
Nikon D100
Nikon D200
Nikon D300
Nikon D300s
Nikon D500
Nikon D3100
Nikon D3200
Nikon D3300
Nikon D3400
Nikon D3500
Nikon D5000
Nikon D5100
Nikon D5200
Nikon D5300
Nikon D5500
Nikon D5600
Nikon D7000
Nikon D7100
Nikon D7200
Nikon D7500
Nikon D600
Nikon D610
Nikon D700
Nikon D750
Nikon D780
Nikon D800
Nikon D810
Nikon D850
Sony A55
Sony A57
Sony A58
Sony A65
Sony A68
Sony A77
Sony A77 II
Sony A99
Sony A99 II
Sony A5000
Sony A5100
Sony A6000
Sony A6100
Sony A6300
Sony A6400
Sony A6500
Sony A6600
Sony A6700
Sony A7
Sony A7 II
Sony A7 IV
Sony A7R
Sony A7R II
Sony A7R III
Sony A7R IV
Sony A7S
Sony A7S II
Sony A7C
Sony A7C II
Sony A7CR
Sony A9
Sony A9 II
Sony A7 Mark III
Sony A7 Mark II
Sony A7 Mark I
Fujifilm X-A1
Fujifilm X-A2
Fujifilm X-A3
Fujifilm X-A5
Fujifilm X-A7
Fujifilm X-M1
Fujifilm X-M2
Fujifilm X-T1
Fujifilm X-T2
Fujifilm X-T3
Fujifilm X-T4
Fujifilm X-T5
Fujifilm X-T10
Fujifilm X-T20
Fujifilm X-T30
Fujifilm X-T30 II
Fujifilm X-T100
Fujifilm X-T200
Fujifilm X-H1
Fujifilm X-H2
Fujifilm X-H2S
Fujifilm X-Pro1
Fujifilm X-Pro2
Fujifilm X-Pro3
Fujifilm X-E1
Fujifilm X-E2
Fujifilm X-E3
Fujifilm X-E4
Fujifilm X-S10
Fujifilm X-S20
Fujifilm X100
Fujifilm X100S
Fujifilm X100T
Fujifilm X100F
Fujifilm X100V
Fujifilm X10
Fujifilm X20
Fujifilm X30
Fujifilm X70
Fujifilm XF1
